  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   7.500   0.8809   0.01246   0.00712   0.0141   0.2305   0.9155
   7.750   0.8996   0.01280   0.00746   0.0155   0.2244   0.9278
   8.000   0.9179   0.01314   0.00781   0.0169   0.2189   0.9406
   8.250   0.9369   0.01348   0.00817   0.0183   0.2137   0.9519
   8.500   0.9544   0.01394   0.00860   0.0197   0.2076   0.9631
   8.750   0.9758   0.01433   0.00900   0.0204   0.2028   0.9730
   9.000   1.0010   0.01481   0.00946   0.0201   0.1970   0.9798
   9.250   1.0278   0.01536   0.00998   0.0194   0.1911   0.9853
   9.500   1.0554   0.01585   0.01047   0.0185   0.1860   0.9904
   9.750   1.0845   0.01654   0.01110   0.0170   0.1798   0.9923
  10.000   1.1163   0.01706   0.01163   0.0152   0.1750   0.9940
  10.250   1.1448   0.01774   0.01227   0.0137   0.1695   0.9962
  10.500   1.1730   0.01843   0.01296   0.0123   0.1647   0.9984
  10.750   1.1997   0.01909   0.01360   0.0112   0.1600   1.0001
  11.000   1.1960   0.01968   0.01418   0.0156   0.1567   1.0001
  11.250   1.2001   0.02028   0.01479   0.0187   0.1535   1.0001
  11.500   1.2082   0.02092   0.01544   0.0209   0.1504   1.0001
  11.750   1.2172   0.02172   0.01623   0.0227   0.1467   1.0001
  12.000   1.2261   0.02269   0.01719   0.0243   0.1431   1.0001
  12.250   1.2400   0.02348   0.01800   0.0252   0.1401   1.0001
  12.500   1.2512   0.02449   0.01901   0.0262   0.1368   1.0001
  12.750   1.2596   0.02575   0.02026   0.0273   0.1332   1.0001
  13.000   1.2734   0.02671   0.02124   0.0279   0.1306   1.0001
  13.250   1.2844   0.02791   0.02246   0.0286   0.1275   1.0001
  13.500   1.2929   0.02932   0.02387   0.0293   0.1244   1.0001
  13.750   1.3026   0.03070   0.02528   0.0299   0.1219   1.0001
  14.000   1.3137   0.03201   0.02661   0.0303   0.1193   1.0001
  14.250   1.3212   0.03365   0.02826   0.0308   0.1166   1.0001
  14.500   1.3253   0.03562   0.03024   0.0313   0.1138   1.0001
  14.750   1.3364   0.03703   0.03169   0.0314   0.1118   1.0001
  15.000   1.3431   0.03886   0.03355   0.0317   0.1095   1.0001
  15.250   1.3475   0.04091   0.03562   0.0319   0.1072   1.0001
  15.500   1.3498   0.04322   0.03796   0.0321   0.1049   1.0001
  15.750   1.3569   0.04514   0.03993   0.0320   0.1031   1.0001
  16.000   1.3617   0.04725   0.04207   0.0320   0.1010   1.0001
  16.250   1.3619   0.04987   0.04472   0.0320   0.0990   1.0001
  16.500   1.3587   0.05288   0.04777   0.0319   0.0970   1.0001
  16.750   1.3651   0.05495   0.04989   0.0317   0.0955   1.0001
  17.000   1.3661   0.05763   0.05262   0.0313   0.0939   1.0001
  17.250   1.3650   0.06050   0.05553   0.0310   0.0921   1.0001
  17.500   1.3604   0.06380   0.05886   0.0306   0.0904   1.0001
  17.750   1.3566   0.06709   0.06221   0.0301   0.0889   1.0001
  18.000   1.3587   0.06975   0.06493   0.0295   0.0874   1.0001
  18.250   1.3556   0.07300   0.06823   0.0289   0.0859   1.0001
  18.500   1.3497   0.07661   0.07188   0.0282   0.0845   1.0001
  18.750   1.3420   0.08045   0.07576   0.0273   0.0830   1.0001
  19.000   1.3363   0.08413   0.07951   0.0264   0.0817   1.0001
  19.250   1.3359   0.08717   0.08261   0.0256   0.0805   1.0001
  19.500   1.3311   0.09077   0.08627   0.0245   0.0792   1.0001
  19.750   1.3238   0.09472   0.09027   0.0234   0.0778   1.0001
  20.000   1.3153   0.09884   0.09443   0.0221   0.0764   1.0001
